algorithm,dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
*AFP,1027_ESL,0.6041929098739696,0.3111903784244027,0.8309296672888038,20.5,1210.966865181923
*AFP,1028_SWD,0.6618330549062514,0.3632692484384418,0.3145165182348534,47,3017.658321261406
*AFP,1029_LEV,0.658121244998906,0.3598563789863857,0.5219042193505663,23.5,2622.2061932086945
*AFP,1030_ERA,1.5799276033766447,1.251668435973549,0.358715671879759,36.5,3007.024176597595
*AFP,1089_USCrime,23.43977493008256,6.310687162146642,0.6396714078497243,25,590.9397264719009
*AFP,1096_FacultySalaries,2.07415633929641,1.6681075930387137,0.7492755138764731,12,584.1098144054413
*AFP,1193_BNG_lowbwt,479.8833906179681,12.347090618729116,0.5629429165170033,45,34142.5977332592
*AFP,1199_BNG_echoMonths,12.020938346598268,4.980196421337556,0.4304775006962064,23,31034.707318544388
*AFP,192_vineyard,3.103786184954562,2.364008330600434,0.3640613405379297,26.5,637.9880217313766
*AFP,210_cloud,0.3895220511022658,0.1412629268948712,0.8716268482861057,13.5,642.397343993187
*AFP,215_2dplanes,2.1520953376496474,1.7283783833075472,0.7606187251718937,40.5,21502.48864889145
*AFP,218_house_8L,36005.2716848826,20.98284128558892,0.5473944293562825,41,27889.71729707718
*AFP,225_puma8NH,3.427761637898032,2.5454959648043256,0.6208768461804093,34,14090.239510059357
*AFP,227_cpu_small,4.749598229371629,3.1594944718418634,0.9296246805016032,34.5,16034.284228920937
*AFP,228_elusage,11.42770556342462,4.879709680198191,0.6621986077593104,22.5,623.0893927812576
*AFP,229_pwLinear,2.8662943651176347,2.220902408272696,0.6438399610310788,47.5,1083.867358803749
*AFP,230_machine_cpu,64.97504104273378,8.348243264607932,0.8315757299517191,25.5,844.6474680900574
*AFP,485_analcatdata_vehicle,209.4222809747992,10.688728194091732,0.3746599370530389,35.5,722.9651532173157
*AFP,503_wind,3.734200947525166,2.7043270599054416,0.6782120641665355,15,8496.695196270943
*AFP,519_vinnie,1.6147580377974575,1.2829993554467254,0.7324053196742728,14,1153.2532193660736
*AFP,522_pm10,0.7891440343468272,0.4841211976064082,0.2089058284902344,47.5,2092.45066344738
*AFP,523_analcatdata_neavote,0.9890679283265734,0.6822153284286568,0.9359415612638956,11.5,839.7651166915894
*AFP,527_analcatdata_election2000,13003.074349056287,18.945882199661657,0.9610896854730114,6.5,472.2454842329025
*AFP,529_pollen,1.4643520204383065,1.1455998258310636,0.7799129580219484,23,8589.851172447205
*AFP,537_houses,82166.97120388807,22.633017380398627,0.4898480604418706,23,20138.039971470836
*AFP,542_pollution,51.5569957252638,7.885751952105217,0.1738151769981051,28.5,671.5983521938324
*AFP,547_no2,0.5788655118759074,0.2889951705904668,0.4177066752746344,31,1638.5210676193235
*AFP,556_analcatdata_apnea2,976.311037435106,13.767563492195976,0.9071240985048844,41.5,2310.441895842552
*AFP,557_analcatdata_apnea1,1155.2281165301288,14.104106963202716,0.8753318823706111,54,2416.136426091194
*AFP,560_bodyfat,0.4776412499962532,0.2055017772696805,0.9968498044396252,15,901.0526082515717
*AFP,561_cpu,36.63319419709547,7.202654433344828,0.9369494311574312,31,776.7121344804764
*AFP,562_cpu_small,4.68747718388822,3.134295338844543,0.9361404433427276,21.5,18227.2362306118
*AFP,579_fri_c0_250_5,0.4563414187843536,0.1891709547685153,0.7848905380763715,35.5,1026.4337611198423
*AFP,582_fri_c1_500_25,0.557785596887259,0.2708853734755149,0.6836746662846375,46.5,1868.3217636346817
*AFP,589_fri_c2_1000_25,0.4678069869150178,0.1979023574259657,0.7530140801121212,32.5,2988.7376395463943
*AFP,590_fri_c0_1000_50,0.5406105372432399,0.2563924323500538,0.7114193667618498,21,2755.242833256721
*AFP,591_fri_c1_100_10,0.5551887394825913,0.2686785461722463,0.6950121383596488,45,798.226189494133
*AFP,593_fri_c1_1000_10,0.4557489158268106,0.1887235819265785,0.7972204616136225,41,2884.859962105751
*AFP,594_fri_c2_100_5,0.6612128614421555,0.3626984796627637,0.5250513823705019,35.5,820.8222812414169
*AFP,595_fri_c0_1000_10,0.496763853913499,0.2205596772288678,0.750650746097896,48.5,2377.270807981491
*AFP,596_fri_c2_250_5,0.4470705531308634,0.1822149506756711,0.7916034601591571,45.5,1211.512447476387
*AFP,597_fri_c2_500_5,0.4846187566856669,0.2109538290747163,0.7560411953783537,38.5,1734.1850626468658
*AFP,598_fri_c0_1000_25,0.5395571328322102,0.2555115300174402,0.6893099562872144,28,1978.827805161476
*AFP,599_fri_c2_1000_5,0.4765068842585856,0.2046200950983386,0.7787951124751883,55.5,3053.629463672638
*AFP,601_fri_c1_250_5,0.5491194173044397,0.2635421354748177,0.6804099213040896,50,1200.8799257278442
*AFP,602_fri_c3_250_10,0.5813640692207127,0.2911641387518898,0.701381710804978,42,1199.508442044258
*AFP,603_fri_c0_250_50,0.6622705821813858,0.3636720339251869,0.538204993095588,26,1134.7900474071505
*AFP,604_fri_c4_500_10,0.4302992938252422,0.1698756621845745,0.8142389561332511,48,1684.163375377655
*AFP,605_fri_c2_250_25,0.5710383105167207,0.2822308053152669,0.6956956599298517,44.5,1252.6680055856705
*AFP,606_fri_c2_1000_10,0.4710024003974825,0.2003605883495207,0.7796288023970122,43,2936.7889915704727
*AFP,607_fri_c4_1000_50,0.5930947255046051,0.3014084482988076,0.6582616500061059,27,3357.588383436203
*AFP,608_fri_c3_1000_10,0.5415019056148519,0.2571385679485982,0.7136295512803156,36.5,3047.221524953842
*AFP,609_fri_c0_1000_5,0.4378861642062345,0.1754180261702061,0.813983014972781,46,2426.300735592842
*AFP,611_fri_c3_100_5,0.7897361408665878,0.4846971316912728,0.4092898433498482,35.5,567.621044754982
*AFP,612_fri_c1_1000_5,0.4327594769056412,0.1716656208101608,0.8186095880128332,45.5,3083.1899456977844
*AFP,613_fri_c3_250_5,0.4418216125245863,0.1783188376696962,0.7912129983292868,28.5,1110.2104712724686
*AFP,615_fri_c4_250_10,0.614317809590693,0.3201877694812128,0.6187478152470669,52,1156.1184360980988
*AFP,616_fri_c4_500_50,0.6158959209205177,0.3215962684672585,0.6017982868025509,31.5,2022.6806148290636
*AFP,617_fri_c3_500_5,0.4216369942887469,0.1636294044021451,0.812635810442917,47.5,1821.7659776210785
*AFP,618_fri_c3_1000_50,0.685740494679337,0.3854256704839141,0.5437484708993132,40,2524.5671079158783
*AFP,620_fri_c1_1000_25,0.4699158947337511,0.1995235407417775,0.7898388916948488,48,3072.209389448166
*AFP,621_fri_c0_100_10,0.6698695195165881,0.3706839788053237,0.4725776082624227,26,539.0336353778839
*AFP,623_fri_c4_1000_10,0.4650614245611246,0.1957987702964731,0.7980899938303543,41,2968.905429124832
*AFP,624_fri_c0_100_5,0.4409215943121787,0.1776538904444403,0.7599164740714979,37,754.1608301401138
*AFP,626_fri_c2_500_50,0.5593204038782055,0.2721922071723416,0.6755556151095581,32,1933.0995651483536
*AFP,627_fri_c2_500_10,0.5308084627666878,0.2482322798947091,0.7197021476689844,42.5,1786.6905604600906
*AFP,628_fri_c3_1000_5,0.5239017890036706,0.2425328261498711,0.6831120205275241,48,2493.48544716835
*AFP,631_fri_c1_500_5,0.5267824741752865,0.2449048670473597,0.7325773720146612,47.5,1818.02149105072
*AFP,633_fri_c0_500_25,0.569729939755798,0.281104641692934,0.6745997094342876,33,1501.4523341655731
*AFP,634_fri_c2_100_10,0.6663527722725019,0.3674350577011548,0.6108288164153092,49.5,865.6055220365524
*AFP,635_fri_c0_250_10,0.5211791864565763,0.2402977683093649,0.7235389105393959,32,1023.8909347057344
*AFP,637_fri_c1_500_50,0.5410209130819116,0.2567358611360262,0.65923765838831,43.5,1966.835088968277
