,algorithm,rmse_test,log_mse_test,r2_test,model_size,training time (s),g1,g2,g3
0,*AFP,0.5930947255046051,0.3014084482988076,0.7114193667618498,37.0,1798.346321105957,1,3,3
1,*AFP_FE,0.5959010001678168,0.303873777916254,0.7227223197925986,38.5,1837.779825091362,1,3,3
2,*AIFeynman,1.5430616151454135,1.2181831025215275,-0.301287913,743.0,15033.031165122986,-1,-1,2
3,*BSR,0.9787677078647212,0.671916509333197,0.1090048799052949,16.0,7200.006766080856,2,4,-1
4,*DSR,0.6667560623287705,0.3678073013256961,0.5891275452952875,9.0,32281.638243675232,0,-1,-1
5,*EPLEX,0.396135166292444,0.1457639550532453,0.8813995856032844,58.0,4291.686351299286,3,2,3
6,*FEAT,0.3442942937354467,0.1120229767215011,0.9133798404653476,77.0,6120.265299081802,3,2,3
7,*FFX,0.7824709092211974,0.4776373703220778,0.7074490207818124,1469.0,120.79667842388152,-1,3,1
8,*GP-GOMEA,0.4609891615930544,0.1926934218140836,0.8370417882457035,26.5,5850.915200352669,0,3,4
9,*ITEA,0.6557764604409069,0.3577043501661717,0.7471999452386471,109.0,3511.331546783448,4,3,2
10,*MRGP,0.7304671566263528,0.4276063496345764,0.5877244132648849,9207.5,197497.36933660507,-1,-1,1
11,*Operon,0.2533818881408285,0.0622255807624916,0.9442504300022948,49.5,612.5957520008087,1,1,2
12,*SBP-GP,0.3328417028976064,0.1050657114763442,0.9220352136902736,768.0,170842.99529099464,3,2,2
13,*gplearn,0.7023006441425024,0.4009390106066529,0.5950972083390272,15.5,22944.53528726101,0,4,-1
14,AdaBoost,0.5396335288423579,0.2555753839638011,0.7675621928942591,14723.0,47.69827020168304,-1,1,0
15,KernelRidge,0.8283177899736353,0.522424314843594,0.6877875724044487,375.0,1.123431921005249,-1,0,0
16,LGBM,0.4836100792207312,0.210162629504721,0.8225873810790274,5169.0,20.635168075561523,4,0,0
17,Linear,0.8857867520305361,0.5792044820261683,0.3301828204350209,10.0,0.1944212913513183,1,0,0
18,MLP,0.8901556576640375,0.5835427248208023,0.5521545195340438,2402.0,12.044094324111938,-1,1,0
19,PS-Tree-SRO,0.250642789044675,0.0610025973721655,0.951423809569259,33.4,144.752554559708,0,0,2
20,PStree,0.283385595284237,0.0807781894898952,0.9374983445920068,53.69184446334839,53.69184446334839,2,0,1
21,RandomForest,0.6066012480313736,0.3133242882554558,0.7508943146652414,98129.0,83.44707691669464,-1,2,0
22,XGB,0.4347150099749736,0.1730933911971063,0.8593754145029742,7930.0,180.6965638399124,4,1,1
